,,pumps,pumps,pumps,pumps,exploded,reward,trial_id
,,mean,std,min,max,mean,mean,count
risk_weight,temperature,,,,,,,
0.1,0.5,4.667,0.816,3,5,0.167,0.208,6
0.1,0.8,4.5,1.761,1,6,0.167,0.217,6
0.2,0.5,8.833,1.602,6,10,0.667,0.167,6
0.2,0.8,9.167,2.041,5,10,0.167,0.417,6
0.3,0.5,9.167,5.707,1,15,0.5,0.325,6
0.3,0.8,12.0,6.033,1,18,0.333,0.45,6
0.4,0.5,13.333,2.422,9,15,0.667,0.25,6
0.4,0.8,15.333,3.327,9,18,0.167,0.692,6
0.5,0.5,8.833,5.947,2,16,0.667,0.267,6
0.5,0.8,11.167,7.139,1,16,0.5,0.4,6
0.6,0.5,13.167,6.494,5,20,0.667,0.333,6
0.6,0.8,14.5,8.361,1,20,0.667,0.333,6
0.7,0.5,14.833,7.574,6,22,0.833,0.183,6
0.7,0.8,12.167,8.183,4,23,0.667,0.375,6
0.8,0.5,13.667,7.685,2,24,0.833,0.2,6
0.8,0.8,19.333,3.67,14,24,0.667,0.383,6
0.9,0.5,16.0,9.187,4,28,0.833,0.233,6
0.9,0.8,15.5,8.643,1,26,0.833,0.217,6
